ID,Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,"CONSO(Watt)",I,"PDUOndulé","PDUNormal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FCTotal","FCCalculé","FCUtilisé","FCFutur","RJ45Total","RJ45Calculé","RJ45Utilisé","RJ45Futur","10GbpsFutur","RJ45CM","IPMI Dédié","IPMIUtilisé","IPMIFutur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
41,TPB -1,CGEDD,CGEDD – Netapp,Baie de disques,2,Rackable,6,NETAPP,FAS 2040 / DS 4243,,1350,"5,87",,,,,Singleton DG,CGEDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,6,6,6,,6,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
42,TPB -1,CGEDD,CGEDD – SAE,Serveur,1,Tour,10,DELL,PowerEdge 840,597BB4J,420,"1,83",,,,,Singleton DG,CGEDD,A virtualiser,0,,,,--,0,0,0,0,,2,1,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Virtualiser et déclasser
43,TPB -1,CGEDD,CGEDD – SIMP1,Serveur,1,Tour,10,HP,Proliant ML150G6,CZ31535E77,,"0,00",,,,,Singleton DG,CGEDD,A virtualiser,0,,,,--,0,0,0,0,,2,1,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Virtualiser et déclasser
44,TPB -1,DEM1,AM1-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,8LGZ7X1,168,"0,73",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,4,3,2,,4,1,,1,,,,,,2FC,,Err :502,Err :502,Err :502,Err :502,Err :502,-2,Err :502,10.167.125.152,,bond0(eth0-eth1) eth2(192.168.251.2),?
45,TPB -1,DEM1,AM2-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,DLGZ7X1,168,"0,73",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,4,3,2,,4,1,,1,,,,,,2FC,,Err :502,Err :502,Err :502,Err :502,Err :502,-2,Err :502,10.167.125.154,,"bond0(eth0-eth1,10.167.125.154) eth2(192.168.251.4)",?
46,TPB -1,DEM1,AM3-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,JT2YD5J,414,"1,80",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,6,3,2,,4,1,,1,2FC,,2RJ,,,,,-2,Err :502,2,Err :502,Err :502,Err :502,Err :502,10.167.125.156,,"bond0(eth0-eth1, 10.167.125.156) eth2(192.168.251.6)",?
47,TPB -1,DEM1,AM4-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,1JLT75J,402,"1,75",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,4,3,2,,4,0,,1,,2FC,,,,,,Err :502,-2,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.125.158,,"bond0(eth0-eth1,10.167.125.158) eth2(192.168.251.8)",?
48,TPB -1,DEM1,AM5-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,BLGZ7X1,154,"0,67",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,4,3,2,,4,1,,1,,,,,,2FC,,Err :502,Err :502,Err :502,Err :502,Err :502,-2,Err :502,10.167.125.160,,"bond0(eth0-eth1,10.167.125.160) eth2(192.168.251.10)",?
49,TPB -1,DEM1,AM6-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,2JLT75J,392,"1,70",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,4,3,2,,4,0,,1,,,,,1FC,1FC,,Err :502,Err :502,Err :502,Err :502,-1,-1,Err :502,10.167.125.162,,"bond0(eth0-eth1,10.167.125.162) eth2(192.168.251.12)",?
50,TPB -1,DEM1,AM8-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,6JLT75J,386,"1,68",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,4,3,2,,4,0,,1,,,,,1FC,1FC,,Err :502,Err :502,Err :502,Err :502,-1,-1,Err :502,10.167.125.166,,"bond0(eth0-eth1,10.167.125.166) eth2(192.168.251.18)",?
51,TPB -1,DEM1,H-CS-02,Serveur,1,Rackable,4,DELL,PowerEdge R900,4BHBF4J,770,"3,35",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,6,S2-1-6,4,4,2,2,,6,6,6,,4,1,,1,,,2FC,2FC,1RJ,1RJ,,Err :502,Err :502,-2,-2,1,1,Err :502,10.167.129.72,,Je ne peux pas m'authentifier sur la machine,?
52,TPB -1,DEM1,H-M2-02,Serveur,1,Rackable,4,DELL,PowerEdge R900,6BHBF4J,770,"3,35",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,4,2,2,,6,6,6,,4,1,,0,,,2FC,2FC,1RJ,1RJ,,Err :502,Err :502,-2,-2,1,1,Err :502,10.167.129.122,,Je ne peux pas m'authentifier sur la machine,?
