Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,CONSO(Watt),I,PDUOndulé,PDUNormal,cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,"FCTotal","FCUtilisé","RJ45Total","RJ45Utilisé","RJ45Futur","IPMIUtilisé","IPMIFutur","RJ45CM","IPMIDédié",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,
TPB -1,DEM1,H-M2-02,Serveur,1,Rackable,4,DELL,PowerEdge R900,6BHBF4J,770,"3,35",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,6,,,,4,1,,,2FC,2FC,1RJ,1RJ,,,,,,,
TPB -1,DEM1,H-SEC-02,Serveur,1,Rackable,1,DELL,PowerEdge R730,79XWH82,322,,,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,,,,2,,,,4,1,,,,2RJ,,2RJ,,,,,,,
TPB -1,DEM1,HORDE-04,Serveur,1,Rackable,4,DELL,PowerEdge 6850,84TXB3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,2,0,1,,1,,,,VGA,,,,,,
TPB -1,DEM1,HORDE-06,Serveur,1,Rackable,4,DELL,PowerEdge 6850,B4TXB3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,2,0,1,,1,,,,VGA,,,,,,
TPB -1,DEM2,DNS-CS-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,CWV6X4J,143,"0,62",,,,,Singleton admin,DOIP,Déménagement,4,Stock,,0,0,,0,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM2,ELASTIC-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,DBD2F4J,190,"0,83",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,0,,2RJ,,,,,,,,,,,
TPB -1,DEM2,H-ACAI-05,Serveur,1,Rackable,2,DELL,PowerEdge R820,CPH4ZZ1,196,"0,85",,,∞,,Cluster admin,DOIP,Déménagement,4,S1,1,2,2,,6,,,,4,1,4RJ,1FC,,,,1FC,,,,,,,
TPB -1,DEM2,H-ACAI-07,Serveur,1,Rackable,2,DELL,PowerEdge R820,8PH4ZZ1,196,"0,85",,,∞,,Cluster admin,DOIP,Déménagement,4,S1,1,2,2,,6,,,,4,1,4RJ,1FC,,,,1FC,,,,,,,
TPB -1,DEM2,H-DEV-02,Serveur,1,Rackable,2,DELL,PowerEdge 2950,B5QM03J,350,"1,52",,,∞,,Cluster admin,DOIP,Déménagement,2,S1,1,2,2,,3,,,,2,0,2FC,2RJ,2RJ,,,,,,,,,,
TPB -1,DEM2,H-RIE-PARIS02,Serveur,1,Rackable,2,DELL,PowerEdge R810,GHLT75J,370,"1,61",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,4,,,,4,0,,,,,,,,,,,,,
