ID,Localisation,Rack,Nom du matériel,MODELE,Type,Nb Elts,Architecture,U,MARQUE,numéro de série,"CONSO (Watt)",I,"PDU Ondulé","PDU Normal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FC Total","FC Calculé","FC Utilisé","FC Futur","RJ45 Total","RJ45 Calculé","RJ45 Utilisé","RJ45 Futur","10Gbps Futur","RJ45 CM","IPMI Dédié","IPMI Utilisé","IPMI Futur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
286,TPB -1,ROUEN,TUNGSTENE,Express5800 - 120RD-1,Serveur,1,Rackable,1,BULL,800023910092,350,"1,52",,,,,Singleton admin,DOIP,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.151.3,,,Déclasser
319,TPB -1,SINGLE 3,URANIUM,Express5800 - 140RC-4,Serveur,1,Rackable,4,BULL,800024750093,800,"3,48",,,,,Singleton admin,DOIP,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.134.3,,,Déclasser
182,TPB -1,DON-04,APC ONDULEUR,SMT2200RMI2U,Onduleur,1,Rackable,2,APC,,100,"0,43",,,,,Stockage Pillar,DOIP,Déménagement,1,S2,1,1,S2-1-1,0,0,0,0,,1,0,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
183,TPB -1,DON-04,APC ONDULEUR,SMT2200RMI2U,Onduleur,1,Rackable,2,APC,,100,"0,43",,,,,Stockage Pillar,DOIP,Déménagement,1,S2,1,1,S2-1-1,0,0,0,0,,1,0,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
333,TPB -1,Stock,fabric1-66,6520,SAN,1,Rackable,2,Brocade,,,,,,∞,,Commutateur SAN,DOIP,Déménagement,1,S2,1,0,S2-1-0,0,0,0,0,,1,1,1,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
334,TPB -1,Stock,fabric2-68,6520,SAN,1,Rackable,2,Brocade,,,,,,∞,,Commutateur SAN,DOIP,Déménagement,1,S2,1,0,S2-1-0,0,0,0,0,,1,1,1,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
67,TPB -1,DEM2,NSS-02,PowerEdge R710,Serveur,1,Rackable,2,DELL,JSX4H4J,228,"0,99",,,nss,,Cluster admin,DOIP,Déménagement,1,S2,1,5,S2-1-5,6,6,6,6,,6,4,2,,4,0,,1,2FC,2FC,2FC,2RJ,,,,-2,-2,-2,2,Err :502,Err :502,Err :502,10.167.1.38,,Connection time out,?
184,TPB -1,DON-04,"PILLAR – Pilot, Slammer, Brick 01-14",Axiom 600,Baie de disques,16,Rackable,33,PILLAR,,5908,"25,69",,,∞,,Stockage Pillar,DOIP,Déménagement,1,S2,1,1,S2-1-1,0,0,4,4,,3,2,2,,3,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.0.6,San-02,Je ne peux pas m'authentifier sur la machine,?
44,TPB -1,DEM1,AM1-02,PowerEdge R820,Serveur,1,Rackable,2,DELL,8LGZ7X1,168,"0,73",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,4,3,2,,4,1,,1,,,,,,2FC,,Err :502,Err :502,Err :502,Err :502,Err :502,-2,Err :502,10.167.125.152,,bond0(eth0-eth1) eth2(192.168.251.2),?
45,TPB -1,DEM1,AM2-02,PowerEdge R820,Serveur,1,Rackable,2,DELL,DLGZ7X1,168,"0,73",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,4,3,2,,4,1,,1,,,,,,2FC,,Err :502,Err :502,Err :502,Err :502,Err :502,-2,Err :502,10.167.125.154,,"bond0(eth0-eth1,10.167.125.154) eth2(192.168.251.4)",?
46,TPB -1,DEM1,AM3-02,PowerEdge R810,Serveur,1,Rackable,2,DELL,JT2YD5J,414,"1,80",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,6,3,2,,4,1,,1,2FC,,2RJ,,,,,-2,Err :502,2,Err :502,Err :502,Err :502,Err :502,10.167.125.156,,"bond0(eth0-eth1, 10.167.125.156) eth2(192.168.251.6)",?
47,TPB -1,DEM1,AM4-02,PowerEdge R810,Serveur,1,Rackable,2,DELL,1JLT75J,402,"1,75",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,4,3,2,,4,0,,1,,2FC,,,,,,Err :502,-2,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.125.158,,"bond0(eth0-eth1,10.167.125.158) eth2(192.168.251.8)",?
48,TPB -1,DEM1,AM5-02,PowerEdge R820,Serveur,1,Rackable,2,DELL,BLGZ7X1,154,"0,67",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,4,3,2,,4,1,,1,,,,,,2FC,,Err :502,Err :502,Err :502,Err :502,Err :502,-2,Err :502,10.167.125.160,,"bond0(eth0-eth1,10.167.125.160) eth2(192.168.251.10)",?
49,TPB -1,DEM1,AM6-02,PowerEdge R810,Serveur,1,Rackable,2,DELL,2JLT75J,392,"1,70",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,4,3,2,,4,0,,1,,,,,1FC,1FC,,Err :502,Err :502,Err :502,Err :502,-1,-1,Err :502,10.167.125.162,,"bond0(eth0-eth1,10.167.125.162) eth2(192.168.251.12)",?
50,TPB -1,DEM1,AM8-02,PowerEdge R810,Serveur,1,Rackable,2,DELL,6JLT75J,386,"1,68",,,melanie,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,6,S2-1-6,2,2,2,2,,4,3,2,,4,0,,1,,,,,1FC,1FC,,Err :502,Err :502,Err :502,Err :502,-1,-1,Err :502,10.167.125.166,,"bond0(eth0-eth1,10.167.125.166) eth2(192.168.251.18)",?
293,TPB -1,SINGLE 1,BO-PROD-04,PowerEdge R810,Serveur,1,Rackable,2,DELL,8JLT75J,400,"1,74",,,Bo-prod,,Cluster admin,DOIP,Déménagement,2,S2,1,6,S2-1-6,0,0,0,0,,4,2,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.133.3,,"Em1(10.167.133.3), em2(10.167.5.3)","Créer un bond0 avec em1 et em2, lui affecter l'ip  10.167.5.3"
153,TPB -1,DNS RIE,CEPH-MON-00,PowerEdge R730,Serveur,1,Rackable,2,DELL,6LB3J82,193,,,,Ceph,,cluster admin,DOIP,Déménagement,2,S2,1,4,S2-1-4,0,0,0,0,,8,0,2,4,4,1,,1,,,,,2RJ,,2RJ,Err :502,Err :502,Err :502,Err :502,2,Err :502,2,-,,,?
156,TPB -1,DNS RIE,CEPH-OSD-00,PowerEdge R730xd,Serveur,1,Rackable,2,DELL,20D3J82,,,,,Ceph,,cluster admin,DOIP,Déménagement,2,S2,1,4,S2-1-4,0,0,0,0,,8,0,2,4,4,1,,1,,,,2RJ,,2RJ,,Err :502,Err :502,Err :502,2,Err :502,2,Err :502,-,,,?
323,TPB -1,Stock,CEPH-OSD-03,PowerEdge R730xd,Serveur,1,Rackable,2,DELL,20BZH82,,,,,Ceph,,cluster admin,DOIP,Déménagement,2,S2,1,4,S2-1-4,0,0,0,0,,4,,2,4,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
72,TPB -1,DEM3,DAVYCAL-04,PowerEdge R810,Serveur,1,Rackable,2,DELL,34Y6X4J,424,"1,84",,,davycal,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,0,0,0,0,,4,1,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.124.164 (pas de résolution),Davy-04,Eth0 (10.167.124.164)+vlan1534,"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.124.164. Appliquer le vlan1534 sur le bond0"
57,TPB -1,DEM2,ELASTIC-02,PowerEdge R610,Serveur,1,Rackable,1,DELL,DBD2F4J,190,"0,83",,,elastic,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,6,1,2,,4,0,,1,,2RJ,,,,,,Err :502,2,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.130.117,,Eth0(10.167.130.117),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.130.117"
88,TPB -1,DEM4,H-ACAI-06,PowerEdge R820,Serveur,1,Rackable,2,DELL,4PH4ZZ1,196,"0,85",,,H-acai,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,8,6,6,,4,1,,1,4RJ,1FC,,,,1FC,,4,-1,Err :502,Err :502,Err :502,-1,Err :502,10.167.129.127,,Je ne peux pas m'authentifier sur la machine,?
89,TPB -1,DEM4,H-ACAI-08,PowerEdge R820,Serveur,1,Rackable,2,DELL,GPH4ZZ1,210,"0,91",,,H-acai,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,8,6,6,,4,1,,1,4RJ,1FC,,,,1FC,,4,-1,Err :502,Err :502,Err :502,-1,Err :502,10.167.129.128,,Je ne peux pas m'authentifier sur la machine,?
51,TPB -1,DEM1,H-CS-02,PowerEdge R900,Serveur,1,Rackable,4,DELL,4BHBF4J,770,"3,35",,,H-cs,,Cluster admin,DOIP,Déménagement,2,S2,1,6,S2-1-6,4,4,2,2,,6,6,6,,4,1,,1,,,2FC,2FC,1RJ,1RJ,,Err :502,Err :502,-2,-2,1,1,Err :502,10.167.129.72,,Je ne peux pas m'authentifier sur la machine,?
